"part","term","statistic","TWFE + threshold (log MMR)"
"estimates","x_low","estimate","-0.021"
"estimates","x_low","std.error","(0.005)"
"estimates","x_high","estimate","-0.004"
"estimates","x_high","std.error","(0.002)"
"estimates","anemia_prev_pct","estimate","-0.002"
"estimates","anemia_prev_pct","std.error","(0.001)"
"estimates","adolescent_birth_rate","estimate","-0.000"
"estimates","adolescent_birth_rate","std.error","(0.000)"
"gof","Num.Obs.","","7695"
"gof","R2","","0.986"
"gof","R2 Adj.","","0.985"
"gof","R2 Within","","0.033"
"gof","R2 Within Adj.","","0.032"
"gof","AIC","","-4888.2"
"gof","BIC","","-3644.5"
"gof","RMSE","","0.17"
"gof","Std.Errors","","by: country_code"
"gof","FE: country_code","","X"
"gof","FE: year","","X"
